Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,39/200,2.3824419026404313e-14,1.1673965322938113e-12,0,0,5.104779908182555,160.12706965875842,CDKN1A;TNFAIP6;CEBPD;IRS2;PTGS2;SAT1;NFIL3;DNAJB4;MAP3K8;CCN1;PDLIM5;PHLDA1;IER3;DUSP5;JUN;EGR2;EGR3;GADD45B;TSC22D1;GCH1;DUSP1;GFPT2;LIF;G0S2;CFLAR;RHOB;VEGFA;PER1;NR4A1;RCAN1;PTPRE;KLF6;MARCKS;NR4A3;MAFF;KLF9;TNFSF9;PTX3;ATF3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,36/200,2.873952197296466e-12,7.041182883376342e-11,0,0,4.609756097560975,122.50580316270944,FBN2;LRRC15;OXTR;TAGLN;NNMT;LAMA2;COL11A1;TNFRSF11B;SAT1;THBS1;FSTL3;COMP;CDH6;SGCD;ANPEP;CCN2;CCN1;MEST;JUN;POSTN;VCAM1;GADD45B;CADM1;IGFBP2;FZD8;RHOB;VEGFA;COL1A1;ACTA2;SFRP4;CXCL12;COL4A1;COL7A1;ADAM12;PTX3;MXRA5
MSigDB_Hallmark_2020,p53 Pathway,28/200,2.1551151793331477e-07,3.5200214595774742e-06,0,0,3.387050507120172,51.992077064310045,CDKN1A;CD82;RRAD;HSPA4L;ABAT;SLC7A11;FOXO3;SAT1;SOCS1;HMOX1;STOM;UPP1;IER3;JUN;CDKN2B;TSC22D1;ZBTB16;DCXR;LIF;INHBB;ALOX15B;TM4SF1;PTPRE;RAP2B;TNFSF9;TRIB3;FGF13;ATF3
GO_Biological_Process_2021,regulation of cell migration (GO:0030334),47/408,1.2098858361291805e-08,4.079735039427596e-05,0,0,2.739051316646361,49.933329340802715,KANK1;LRRC15;MCTP1;CITED2;SEMA3A;CAMK2A;FAM107A;PIK3R3;STC1;NEDD9;NEXN;PRR5L;ADARB1;LDB2;FOXO3;THBS1;NKD1;ROBO1;AMOT;DUSP10;PDPN;PHACTR1;CCN1;EPHB2;PLXNA4;FGF22;CCR1;CARMIL1;SUN2;DNAI3;SEMA6D;NOG;SORL1;ALOX15B;ADRA2A;RHOB;VEGFA;COL1A1;IGSF10;FRMD5;CXCL12;SFRP2;RAP2B;SMO;NAV3;MYADM;FGF10
GO_Biological_Process_2021,regulation of p38MAPK cascade (GO:1900744),12/37,6.444549441517665e-08,0.00010865510358398785,0,0,9.89038961038961,163.75959207324527,PER1;DUSP10;GADD45B;DUSP1;HAND2;LEP;RELL1;LGALS9;GDF6;XDH;GADD45G;VEGFA
GO_Biological_Process_2021,positive regulation of cell differentiation (GO:0045597),33/258,1.6296598274424022e-07,0.000183173764604526,0,0,3.059859726836471,47.82476408850452,CCDC71L;FBN2;PKDCC;TMEM100;FRZB;PDPN;CCN2;SOX9;CCN1;APOB;CDON;TGFB2;ZHX3;DNAI3;MMD;LMO3;ZBTB16;AXIN2;GDF6;NGF;ALOX15B;GDF5;AGT;TGFBR2;COL1A1;SLC6A6;GPRC5B;SFRP2;RGCC;GDNF;TMEM119;PPARG;ARHGEF2
MSigDB_Hallmark_2020,Hypoxia,24/200,2.2814244337843068e-05,0.0002235795945108621,0,0,2.824162679425837,30.185005052460543,ERRFI1;JUN;CDKN1A;LXN;CITED2;DUSP1;STC1;NEDD4L;IRS2;GLRX;FOXO3;VEGFA;SAP30;SLC6A6;MT2A;KLF6;NFIL3;MAFF;HMOX1;CCN2;CCN1;ATF3;IER3;MT1E
MSigDB_Hallmark_2020,KRAS Signaling Up,24/200,2.2814244337843068e-05,0.0002235795945108621,0,0,2.824162679425837,30.185005052460543,SERPINA3;SPON1;MMD;GFPT2;LIF;G0S2;GLRX;PRDM1;PTGS2;NGF;MMP10;GADD45G;BTC;HSD11B1;TMEM100;ALDH1A3;GPRC5B;MAFB;SPARCL1;ITGBL1;PRKG2;SOX9;EPHB2;SCN1B
KEGG_2021_Human,Regulation of lipolysis in adipocytes,13/55,1.1069892521945386e-06,0.0003177059153798326,0,0,6.378940308517773,87.47993652478765,ADCY4;AQP7;PIK3R3;IRS2;ABHD5;ADCY1;PIK3R1;ADCY8;PTGS2;FABP4;ADORA1;PRKG2;PNPLA2
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,17/98,2.746452241544504e-06,0.00039411589666163633,0,0,4.335240935531106,55.51362971243776,TRPA1;PRKCE;PLA2G4C;CAMK2A;ADCY4;PIK3R3;PLA2G4A;PIK3R1;HTR2A;ADCY1;NGF;ADCY8;PPP1CB;PLCG2;BDKRB2;BDKRB1;ASIC2
