Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,G2-M Checkpoint,0.7850035693178052,2.76451694749968,0.0,0.0,0.0,81/194,5.47%,MYBL2;PBK;BUB1;MT2A;KIF2C;CDC20;CDK1;NEK2;CDC45;EXO1;BIRC5;CCNA2;TOP2A;NUSAP1;MKI67;CDC6;UBE2C;PTTG1;KIF23;TPX2;HMMR;AURKB;TTK;CENPA;KIF11;FBXO5;CCNB2;CDKN3;RAD54L;CENPE;MCM2;PLK1;GINS2;CHEK1;KPNA2;KNL1;KIF4A;NDC80;PRC1;TROAP;CKS2;CENPF;PLK4;BRCA2;MAD2L1;CDC25A;ESPL1;KIF15;SQLE;STIL;POLQ;MCM6;SMC2;HMGA1;AURKA;EZH2;E2F1;PML;CKS1B;E2F2;HMGN2;DBF4;RACGAP1;HMGB3;KIF20B;STMN1;SMC4;MCM3;HIF1A;MCM5;DTYMK;ORC6;CCNF;CHAF1A;MEIS1;CUL1;TRAIP;MARCKS;CDC7;BARD1;SLC7A5
prerank,Interferon Alpha Response,0.8598967003706952,2.709777873856546,0.0,0.0,0.0,68/96,8.93%,IFI27;USP18;RSAD2;LY6E;IFI44L;IFI44;CMPK2;OAS1;MX1;OASL;IFIH1;RTP4;DHX58;LGALS3BP;EPSTI1;ISG15;HERC6;DDX60;IRF7;IFIT3;IFITM3;PNPT1;MOV10;CSF1;CCRL2;LAMP3;IFI35;TDRD7;TMEM140;TRIM5;PARP12;SAMD9L;IFITM1;SAMD9;TENT5A;IFIT2;EIF2AK2;TRIM26;BATF2;CMTR1;CNP;TRIM14;CXCL10;PLSCR1;UBE2L6;NCOA7;PARP14;BST2;CXCL11;TAP1;PARP9;LAP3;NUB1;UBA7;TRIM21;TRAFD1;PSMA3;STAT2;IL15;ELF1;GBP4;ISG20;RIPK2;SELL;C1S;CASP1;NMI;IFI30
prerank,E2F Targets,0.7820112884360595,2.7038278029712326,0.0,0.0,0.0,107/198,9.70%,MYBL2;MELK;TRIP13;RRM2;KIF2C;CDC20;CDK1;DLGAP5;BUB1B;SPC25;BIRC5;TK1;TOP2A;RAD51AP1;MKI67;CENPM;PTTG1;HMMR;DSCC1;AURKB;CCNB2;CDKN3;SPC24;CENPE;MCM2;PRDX4;SPAG5;PLK1;CHEK1;MCM4;E2F8;DIAPH3;UBE2T;KPNA2;TCF19;TIPIN;CDCA8;KIF4A;PCNA;CKS2;PLK4;CCNE1;BRCA2;MAD2L1;CDC25A;ESPL1;NME1;HELLS;CDCA3;ATAD2;DUT;MCM6;HMGA1;AURKA;EZH2;CKS1B;TUBG1;KIF18B;CIT;TIMELESS;SHMT1;NBN;RACGAP1;HMGB3;RFC3;STMN1;SMC4;CDKN2A;MCM3;RNASEH2A;WEE1;MCM7;MTHFD2;MCM5;ORC6;CDKN1A;DONSON;NUP205;CHEK2;GINS4;PAICS;BARD1;TUBB;RPA3;DCTPP1;RAN;GINS3;TMPO;LIG1;NUDT21;UNG;POLD1;PSMC3IP;RFC1;MMS22L;BRCA1;ANP32E;ZW10;RBBP7;RANBP1;MLH1;NOLC1;EIF2S1;PHF5A;RAD51C;BRMS1L;POLE
prerank,Interferon Gamma Response,0.7683084714655446,2.636720689423503,0.0,0.0,0.0,97/198,9.15%,IFI27;CCL7;USP18;RSAD2;LY6E;IFI44L;IFIT1;IFI44;CMPK2;OAS2;MX1;OAS3;MT2A;OASL;IFIH1;RTP4;DHX58;LGALS3BP;EPSTI1;ISG15;HERC6;CCL2;DDX60;XAF1;IRF7;HLA-G;IFIT3;CD38;IFITM3;PNPT1;SERPING1;ZBP1;DDX58;NFKBIA;IRF4;IFI35;TDRD7;PARP12;ICAM1;TOR1B;SAMD9L;TNFAIP3;IFIT2;EIF2AK2;TRIM26;PML;IL15RA;TNFSF10;BATF2;CMTR1;CASP7;TRIM14;CD274;GCH1;IL6;LYSMD2;APOL6;CXCL10;PLSCR1;UBE2L6;PARP14;BST2;CXCL11;ARID5B;BANK1;STAT1;METTL7B;TAP1;SLAMF7;CASP3;MTHFD2;LAP3;HIF1A;MX2;CDKN1A;TRIM21;RNF213;TNFAIP6;IRF5;TRAFD1;PSMB2;PSMA3;STAT2;IL15;HLA-A;NCOA3;GBP4;ISG20;ZNFX1;SELP;RIPK2;SSPN;C1S;CASP1;NMI;IFI30;ARL4A
prerank,TNF-alpha Signaling via NF-kB,0.6225004023441343,2.127257027784799,0.0,0.0,0.0,74/198,8.00%,IFIH1;PLAU;CCL2;OLR1;CXCL2;PLPP3;CSF1;ZC3H12A;SERPINB2;INHBA;KLF10;DDX58;GADD45B;CCRL2;NFKBIA;EDN1;PTX3;NFKBIE;SPHK1;ICAM1;CD83;PHLDA2;DNAJB4;CXCL3;TNFAIP3;PHLDA1;IFIT2;ABCA1;FUT4;NINJ1;IL15RA;LDLR;BIRC3;BTG3;FOSL1;GCH1;IL6;CXCL10;ICOSLG;CXCL11;IER3;TAP1;BHLHE40;VEGFA;EGR2;IL23A;RELB;CDKN1A;ATF3;TNIP1;PLK2;IER5;TNFAIP6;MARCKS;HBEGF;PPP1R15A;G0S2;BIRC2;IL6ST;TANK;RNF19B;SGK1;DUSP5;TSC22D1;ZBTB10;MXD1;SQSTM1;ID2;SNN;GPR183;LAMB3;TGIF1;RIPK2;CCNL1
prerank,mTORC1 Signaling,0.6071171543169384,2.0924065282503252,0.0,0.0,0.0,87/197,13.74%,BUB1;RRM2;PSAT1;MCM2;PLK1;MCM4;PHGDH;HSP90B1;DHFR;CDC25A;SQLE;SDF2L1;PSPH;LGMN;AURKA;LDLR;TUBG1;SLC7A11;DHCR24;PPA1;XBP1;TRIB3;PSMC2;POLR3G;EEF1E1;PSMG1;STARD4;GOT1;SCD;TBK1;HMGCS1;DDIT3;MTHFD2;BHLHE40;SLC1A4;SHMT2;TMEM97;NUFIP1;CDKN1A;ME1;CCNF;PSMD14;NFKBIB;HSPA9;MTHFD2L;NUP205;IDH1;PPP1R15A;ARPC5L;SLC7A5;PSMA3;PPIA;EBP;HMBS;UNG;UFM1;PRDX1;FDXR;SQSTM1;ACACA;GTF2H1;GLRX;GMPS;PNO1;CYP51A1;DDIT4;RAB1A;CCNG1;IFI30;SC5D;PSMA4;GGA2;HSPA4;INSIG1;CXCR4;GPI;ATP5MC1;PSMC4;PSMD12;SSR1;FKBP2;QDPR;COPS5;HSPD1;ETF1;FADS1;PITPNB
prerank,Myc Targets V1,0.6157689701065667,2.0686274951821697,0.0,0.0,0.0,103/196,19.67%,CDC20;TYMS;CDC45;CCNA2;MCM2;PRDX4;MCM4;KPNA2;PCNA;MAD2L1;NME1;DUT;MCM6;SRM;RFC4;RRM1;MCM7;GNL3;CSTF2;MCM5;COX5A;PSMD14;GOT2;CUL1;MRPS18B;EIF4E;PSMB2;SNRPA1;RAN;MRPL9;PPIA;MRPL23;PSMA6;SNRPD1;ILF2;ODC1;C1QBP;ABCE1;PWP1;RANBP1;PSMD8;NOLC1;CNBP;EIF2S1;SSB;YWHAQ;VDAC1;SNRPA;PSMA4;PSMD3;CCT2;SNRPG;AIMP2;SRSF7;DHX15;PSMC4;NHP2;PPM1G;HNRNPR;CYC1;NPM1;HNRNPC;BUB3;XRCC6;STARD7;COPS5;NDUFAB1;PSMA2;HSPD1;MYC;ETF1;NCBP2;SSBP1;ACP1;EIF1AX;EIF3J;TUFM;USP1;TOMM70;RUVBL2;PHB;CCT4;SERBP1;HDGF;CTPS1;AP3S1;PSMD7;UBA2;RRP9;YWHAE;SYNCRIP;PSMA1;TARDBP;XPO1;CDK4;NOP56;CANX;NCBP1;EIF4H;CCT3;RNPS1;VDAC3;XPOT
prerank,Mitotic Spindle,0.5785550728695852,2.04056717889207,0.0,0.0,0.0,40/198,6.44%,BUB1;KIF2C;CDK1;NEK2;DLGAP5;BIRC5;TOP2A;NUSAP1;ANLN;KIF23;TPX2;TTK;KIF11;FBXO5;CCNB2;CENPE;PLK1;KIF4A;NDC80;PRC1;PIF1;CENPF;BRCA2;ESPL1;KIF15;NET1;AURKA;PCGF5;KPTN;RACGAP1;KIF20B;SMC4;KNTC1;SASS6;TLK1;CD2AP;MARCKS;CTTN;ECT2;CDK5RAP2
prerank,Myc Targets V2,0.6509950395552977,1.933799501550572,0.0,0.0,0.0,40/58,20.30%,PLK1;MCM4;PLK4;SRM;RCL1;TFB2M;GNL3;SUPV3L1;NOP2;MCM5;TMEM97;NDUFAF4;WDR43;IPO4;PRMT3;IMP4;DCTPP1;GRWD1;UNG;NIP7;NOLC1;TCOF1;MYBBP1A;AIMP2;UTP20;NOC4L;MRTO4;BYSL;NPM1;HSPD1;MYC;LAS1L;PHB;RRP9;MPHOSPH10;CDK4;NOP56;PES1;TBRG4;NOP16
prerank,Unfolded Protein Response,0.6201678011337828,1.9107475221687182,0.0,0.0,0.0,63/110,20.00%,IFIT1;CCL2;PSAT1;CHAC1;HSP90B1;EIF2AK3;CKS1B;SRPRB;FKBP14;EXOSC9;XBP1;WFS1;PDIA6;MTHFD2;VEGFA;SLC1A4;HSPA9;DCP1A;ATF3;ALDH18A1;EIF4E;SLC7A5;PDIA5;SRPRA;EIF4A2;EDC4;DDIT4;SPCS1;NOLC1;GOSR2;EIF2S1;BAG3;SEC31A;HERPUD1;ZBTB17;EIF4G1;YIF1A;HYOU1;CEBPG;EXOSC10;NFYA;NHP2;SSR1;KDELR3;NPM1;NOP14;PREB;SPCS3;LSM1;TSPYL2;PAIP1;ATF4;EXOSC1;MTREX;RRP9;CNOT2;PARN;DNAJB9;NOP56;POP4;XPOT;EDEM1;KIF5B
