Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Interferon Alpha Response,51/97,8.244692942178663e-50,3.5452179651368255e-48,0,0,35.364642472152354,3996.900750079942,IFITM3;RTP4;IFITM1;SAMD9L;UBE2L6;ADAR;IFI35;TMEM140;IFIT3;IFIT2;OASL;NUB1;TRIM5;LAMP3;DHX58;CASP1;TRIM25;TRIM21;B2M;HERC6;BATF2;SP110;TRAFD1;PARP9;PLSCR1;ELF1;IRF2;IRF7;TRIM14;TXNIP;SAMD9;USP18;GBP2;GBP4;PNPT1;STAT2;MX1;EIF2AK2;ISG15;TDRD7;NMI;PARP14;PARP12;PSMB8;PSMB9;BST2;ISG20;CXCL10;MOV10;SELL;LPAR6
MSigDB_Hallmark_2020,Interferon Gamma Response,61/200,4.570076342966951e-42,9.825664137378942e-41,0,0,14.16486306752917,1348.3397737286516,IFITM3;RTP4;SAMD9L;EIF4E3;TNFAIP6;UBE2L6;ADAR;IFI35;IFIT1;IFIT3;IFIT2;OASL;CASP3;DHX58;CASP4;TNFSF10;CASP1;TRIM25;TRIM21;B2M;HERC6;ZBP1;BATF2;SP110;DDX58;TRAFD1;PLSCR1;IRF2;IRF7;TRIM14;TXNIP;RBCK1;FGL2;FPR1;SAMHD1;USP18;RNF213;APOL6;ST8SIA4;GBP4;PNPT1;STAT1;STAT2;MX2;STAT3;MX1;EIF2AK2;ISG15;TDRD7;NMI;PARP14;TOR1B;PARP12;PSMB8;PML;PSMB9;BST2;ISG20;CXCL10;ZNFX1;MYD88
GO_Biological_Process_2021,defense response to symbiont (GO:0140546),37/124,1.6123663976291666e-25,2.646561689613125e-22,0,0,13.23062782017715,755.2958503040694,IFITM3;RTP4;IFITM1;RNASEL;IFIT5;IFIT1;SAMHD1;IFIT3;IFIT2;OASL;IFI16;TRIM5;FADD;ZBP1;APOBEC3G;MLKL;RIPK3;DDX58;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;BST2;ISG20;NT5C3A;MOV10;PLSCR1;IRF2;IRF7;TLR8;TLR7;APOBEC3A;MYD88;TLR2;TRIM56
GO_Biological_Process_2021,defense response to virus (GO:0051607),38/133,2.0781795756679427e-25,2.646561689613125e-22,0,0,12.458899676375404,708.0783274876245,IFITM3;RTP4;IFITM1;RNASEL;IFIT5;IFIT1;SAMHD1;IFIT3;IFIT2;OASL;IFI16;TRIM5;FADD;ZBP1;APOBEC3G;MLKL;RIPK3;DDX58;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;BST2;ISG20;NT5C3A;CXCL10;MOV10;PLSCR1;IRF2;IRF7;TLR8;TLR7;APOBEC3A;MYD88;TLR2;TRIM56
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),25/65,9.54961837896346e-21,6.0807195028049845e-18,0,0,19.120443740095087,881.4101191574517,IFITM3;IFITM1;RNASEL;SP100;IFIT5;ADAR;IFI35;IFIT1;SAMHD1;IFIT3;IFIT2;OASL;GBP2;STAT1;MX2;STAT2;MX1;ISG15;PSMB8;HLA-E;BST2;ISG20;IRF2;IRF7;MYD88
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),25/65,9.54961837896346e-21,6.0807195028049845e-18,0,0,19.120443740095087,881.4101191574517,IFITM3;IFITM1;RNASEL;SP100;IFIT5;ADAR;IFI35;IFIT1;SAMHD1;IFIT3;IFIT2;OASL;GBP2;STAT1;MX2;STAT2;MX1;ISG15;PSMB8;HLA-E;BST2;ISG20;IRF2;IRF7;MYD88
GO_Biological_Process_2021,negative regulation of viral process (GO:0048525),25/70,8.10877933685807e-20,4.130612194195501e-17,0,0,16.991547807712625,746.9272789331901,IFITM3;IFITM1;RNASEL;IFIT5;ZC3HAV1;IFIT1;OASL;TRIM6;IFI16;TRIM5;TRIM27;TRIM21;APOBEC3G;STAT1;MX1;EIF2AK2;ISG15;PML;BST2;ISG20;PARP10;PLSCR1;TRIM13;TRIM14;APOBEC3A
GO_Biological_Process_2021,innate immune response (GO:0045087),44/302,8.270356609912546e-17,3.5107663809078766e-14,0,0,5.31858945128439,196.95411641516776,IFITM3;IFITM1;SP100;CYBC1;NCF1;NCF2;SLA;ADAR;IFIT1;MEFV;NUB1;TRIM6;TRIM5;CLEC7A;DHX58;TRIM25;PTK2B;TRIM27;APOL1;B2M;TRIM21;APOBEC3G;DDX58;MX1;ISG15;PML;HLA-E;BST2;HCK;CXCL10;CLEC4D;CAPZA1;TRIM13;IRF7;TRIM14;TLR8;TRIM38;CLEC4E;TLR4;APOBEC3A;MYD88;TLR2;MSRB1;TRIM56
GO_Biological_Process_2021,negative regulation of viral genome replication (GO:0045071),18/54,4.9343878403657535e-14,1.7954122613445102e-11,0,0,15.13166144200627,463.6335418880907,IFITM3;IFITM1;RNASEL;APOBEC3G;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;BST2;ISG20;PARP10;TRIM6;PLSCR1;IFI16;APOBEC3A
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),59/621,2.213677612106167e-13,7.047796097543009e-11,0,0,3.30280703636808,96.24033239042969,IFITM3;IFITM1;IFIT5;SLA;ADAR;IFI35;IFIT1;IFIT3;TNFSF13B;IFIT2;LMNB1;OASL;TRIM5;CASP3;CASP1;TNFRSF8;TRIM25;B2M;TRIM21;IL6R;CCR2;IL16;TNFRSF1A;HLA-E;HCK;AIM2;IRF2;IRF7;RNASEL;SP100;FPR1;SAMHD1;INPP5D;CXCR2;PTK2B;CD300LF;GBP2;GBP1;CCR1;HSPA8;TNFSF14;IL10RB;STAT1;STAT2;MX2;STAT3;MX1;ISG15;PSMB8;PML;PSMB9;BST2;ISG20;CXCL10;CAPZA1;TRIM38;LTBR;MYD88;IL18R1
