Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,G2-M Checkpoint,35/200,3.954784530494152e-23,7.711829834463598e-22,0,0,11.422227818349702,589.2102652063954,TOP2A;TTK;KIF11;HMMR;MKI67;CENPA;AURKB;CDC20;CCNB2;MT2A;CDC45;PTTG1;EXO1;CHEK1;PBK;NUSAP1;RAD54L;NEK2;MYBL2;FBXO5;KPNA2;BUB1;GINS2;UBE2C;PLK1;KIF23;CDC6;CCNA2;TPX2;CENPE;CDK1;BIRC5;KIF2C;CDKN3;MCM2
MSigDB_Hallmark_2020,E2F Targets,35/200,3.954784530494152e-23,7.711829834463598e-22,0,0,11.422227818349702,589.2102652063954,TOP2A;DSCC1;BUB1B;HMMR;MKI67;AURKB;CDC20;RAD51AP1;CCNB2;PRDX4;PTTG1;CHEK1;MYBL2;TK1;KPNA2;DLGAP5;E2F8;TCF19;RRM2;SPAG5;PLK1;CENPE;MELK;DIAPH3;UBE2T;CDK1;CENPM;MCM4;BIRC5;KIF2C;TRIP13;SPC24;CDKN3;SPC25;MCM2
MSigDB_Hallmark_2020,Interferon Gamma Response,31/200,5.244587164795162e-19,6.817963314233711e-18,0,0,9.767123287671232,411.116974383039,IFITM3;LGALS3BP;RTP4;IFIT1;DDX60;USP18;IFIT3;IFI44L;OASL;IFIH1;MT2A;CCL7;DHX58;EPSTI1;CD38;CCL2;HERC6;PNPT1;RSAD2;MX1;IFI44;ISG15;HLA-G;IFI27;OAS2;OAS3;IRF7;SERPING1;CMPK2;XAF1;LY6E
MSigDB_Hallmark_2020,Interferon Alpha Response,23/97,1.0376941795141805e-18,1.011751825026326e-17,0,0,16.27382073762771,673.8912771188986,IFITM3;LGALS3BP;RTP4;PNPT1;RSAD2;MX1;IFI44;ISG15;DDX60;USP18;IFIT3;IFI44L;OASL;IFIH1;MOV10;IFI27;OAS1;DHX58;EPSTI1;IRF7;CMPK2;HERC6;LY6E
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),16/65,1.1045432011593037e-13,8.792163881228055e-11,0,0,16.80343716433942,501.31667407443706,IFITM3;RSAD2;MX1;IFIT5;IFI6;ISG15;IFIT1;HLA-G;IFIT3;OASL;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),16/65,1.1045432011593037e-13,8.792163881228055e-11,0,0,16.80343716433942,501.31667407443706,IFITM3;RSAD2;MX1;IFIT5;IFI6;ISG15;IFIT1;HLA-G;IFIT3;OASL;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),20/128,9.013434202604236e-13,4.783129083515313e-10,0,0,9.602048857368006,266.3117693653085,PLK1;BUB1B;TTK;KIF11;CENPA;SKA1;ZWINT;AURKB;CDC20;CENPE;CCNB1;NUF2;NUSAP1;BIRC5;CENPM;KIF2C;BUB1;DLGAP5;SPC24;SPC25
GO_Biological_Process_2021,defense response to symbiont (GO:0140546),19/124,4.827515270405522e-12,1.7068881377257884e-09,0,0,9.359125931539724,243.8678357446502,IFITM3;RTP4;RSAD2;MX1;IFIT5;IFI6;ISG15;IFIT1;RNASE1;IFI44L;IFIT3;OASL;IFIH1;MOV10;IFI27;OAS1;OAS2;OAS3;IRF7
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),21/157,5.360829578284513e-12,1.7068881377257884e-09,0,0,8.016235294117648,208.03655581409436,PLK1;BUB1B;KIF23;TTK;KIF11;CENPA;SKA1;ZWINT;AURKB;CDC20;TPX2;CENPE;CCNB1;NUF2;BIRC5;CENPM;KIF2C;BUB1;DLGAP5;SPC24;SPC25
GO_Biological_Process_2021,defense response to virus (GO:0051607),19/133,1.7223846697675733e-11,4.570060657116628e-09,0,0,8.616268788682582,213.5518632791697,IFITM3;RTP4;RSAD2;MX1;IFIT5;IFI6;ISG15;IFIT1;RNASE1;IFI44L;IFIT3;OASL;IFIH1;MOV10;IFI27;OAS1;OAS2;OAS3;IRF7
