gene,module
ENSG00000280614,7
ENSG00000206047,8
ENSG00000229807,8
ENSG00000188536,8
ENSG00000239839,8
ENSG00000206172,8
ENSG00000244734,8
ENSG00000129824,8
ENSG00000134321,1
ENSG00000185745,1
ENSG00000280800,7
ENSG00000240247,8
ENSG00000067048,8
ENSG00000211896,1
ENSG00000088827,1
ENSG00000257764,8
ENSG00000187608,1
ENSG00000137959,1
ENSG00000165949,1
ENSG00000197561,8
ENSG00000158578,8
ENSG00000183878,8
ENSG00000211897,1
ENSG00000119917,1
ENSG00000164821,8
ENSG00000196415,8
ENSG00000204936,1
ENSG00000198692,8
ENSG00000100448,8
ENSG00000102837,8
ENSG00000172232,8
ENSG00000119922,1
ENSG00000211659,1
ENSG00000012223,8
ENSG00000005381,8
ENSG00000184979,1
ENSG00000111331,1
ENSG00000118113,8
ENSG00000268500,1
ENSG00000148346,8
ENSG00000089127,1
ENSG00000012817,8
ENSG00000211677,1
ENSG00000137965,1
ENSG00000132530,1
ENSG00000211679,1
ENSG00000111335,1
ENSG00000211895,1
ENSG00000211598,1
ENSG00000211662,1
ENSG00000099725,8
ENSG00000211675,1
ENSG00000211899,1
ENSG00000114374,8
ENSG00000124469,8
ENSG00000284931,8
ENSG00000104918,8
ENSG00000160932,1
ENSG00000124102,4
ENSG00000211663,1
ENSG00000086548,8
ENSG00000281181,8
ENSG00000211893,1
ENSG00000211592,1
ENSG00000157601,1
ENSG00000242371,1
ENSG00000126709,1
ENSG00000115155,1
ENSG00000106565,8
ENSG00000270550,1
ENSG00000211673,1
ENSG00000132465,1
ENSG00000149131,1
ENSG00000101425,8
ENSG00000211653,1
ENSG00000196565,8
ENSG00000243466,1
ENSG00000231535,8
ENSG00000134326,1
ENSG00000152778,1
ENSG00000279296,1
ENSG00000138646,1
ENSG00000272398,8
ENSG00000211651,1
ENSG00000134184,8
ENSG00000136514,1
ENSG00000239951,1
ENSG00000254709,1
ENSG00000211669,1
ENSG00000211637,1
ENSG00000164047,8
ENSG00000137628,1
ENSG00000168903,1
ENSG00000211666,1
ENSG00000244437,1
ENSG00000149516,8
ENSG00000269711,1
ENSG00000211648,1
ENSG00000225972,8
ENSG00000133106,1
ENSG00000211950,1
ENSG00000251546,1
ENSG00000280411,1
ENSG00000223609,8
ENSG00000125740,8
ENSG00000135114,1
ENSG00000211660,1
ENSG00000163958,4
ENSG00000122861,4
ENSG00000131002,8
ENSG00000170476,1
ENSG00000211890,1
ENSG00000211955,1
ENSG00000241351,1
ENSG00000278196,1
ENSG00000211640,1
ENSG00000243238,1
ENSG00000211934,1
ENSG00000096006,8
ENSG00000004939,8
ENSG00000179869,8
ENSG00000211962,1
ENSG00000244116,1
ENSG00000010030,1
ENSG00000211668,1
ENSG00000211956,1
ENSG00000181143,8
ENSG00000169429,4
ENSG00000133742,8
ENSG00000242076,1
ENSG00000137801,4
ENSG00000196141,1
ENSG00000089169,1
ENSG00000108771,1
ENSG00000130522,8
ENSG00000173801,1
ENSG00000288640,1
ENSG00000241743,8
ENSG00000110203,4
ENSG00000276085,8
ENSG00000117228,1
ENSG00000143443,8
ENSG00000211644,1
ENSG00000211959,1
ENSG00000211966,1
ENSG00000171860,1
ENSG00000146859,1
ENSG00000229391,8
ENSG00000206177,8
ENSG00000169397,8
ENSG00000211892,1
ENSG00000125148,1
ENSG00000134827,8
ENSG00000281344,8
ENSG00000002933,8
ENSG00000211937,1
ENSG00000211947,1
ENSG00000118520,1
ENSG00000270149,1
ENSG00000188313,1
ENSG00000172216,8
ENSG00000172322,1
ENSG00000185507,1
ENSG00000036448,1
ENSG00000286231,1
ENSG00000211949,1
ENSG00000198502,8
ENSG00000143416,8
ENSG00000163736,8
ENSG00000183308,8
ENSG00000133063,8
ENSG00000213058,8
ENSG00000211638,1
ENSG00000169877,8
ENSG00000282122,1
ENSG00000242534,1
ENSG00000162747,1
ENSG00000105205,8
ENSG00000248672,1
ENSG00000239264,1
ENSG00000115590,1
ENSG00000179344,8
ENSG00000211945,1
ENSG00000257017,8
ENSG00000154451,1
ENSG00000286106,3
ENSG00000239975,1
ENSG00000205277,8
ENSG00000241755,1
ENSG00000243290,1
ENSG00000229314,8
ENSG00000237550,8
ENSG00000234857,4
ENSG00000254415,1
ENSG00000158050,8
ENSG00000115267,1
ENSG00000073737,1
ENSG00000123610,1
ENSG00000107201,1
ENSG00000268240,1
ENSG00000278996,8
ENSG00000176728,8
ENSG00000115523,8
ENSG00000177409,1
ENSG00000138642,1
ENSG00000232133,1
ENSG00000013725,8
ENSG00000203618,8
ENSG00000250264,1
ENSG00000090104,8
ENSG00000168062,1
ENSG00000177600,8
ENSG00000100079,8
ENSG00000123700,1
ENSG00000074803,8
ENSG00000145335,8
ENSG00000005961,8
ENSG00000099624,8
ENSG00000167286,8
ENSG00000168685,8
ENSG00000260349,4
ENSG00000277734,8
ENSG00000198848,8
ENSG00000120217,1
ENSG00000205176,8
ENSG00000197766,8
ENSG00000008438,8
ENSG00000277422,8
ENSG00000211938,1
ENSG00000277209,8
ENSG00000133048,8
ENSG00000282651,1
ENSG00000283378,1
ENSG00000120738,8
ENSG00000214262,1
ENSG00000124107,4
ENSG00000211941,1
ENSG00000112299,1
ENSG00000108387,1
ENSG00000182050,8
ENSG00000163823,1
ENSG00000108679,1
ENSG00000065618,8
ENSG00000133574,1
ENSG00000271503,8
ENSG00000183019,1
ENSG00000166750,1
ENSG00000143891,1
ENSG00000184897,8
ENSG00000228830,8
ENSG00000224373,1
ENSG00000185262,8
ENSG00000110848,8
ENSG00000115604,1
ENSG00000142089,1
ENSG00000123358,8
ENSG00000175602,8
ENSG00000153563,8
ENSG00000121858,1
ENSG00000237973,8
ENSG00000160654,8
ENSG00000211772,8
ENSG00000002726,8
ENSG00000100450,8
ENSG00000112149,8
ENSG00000116299,3
ENSG00000162551,1
ENSG00000225840,8
ENSG00000143631,8
ENSG00000259332,1
ENSG00000146122,4
ENSG00000211943,1
ENSG00000211751,8
ENSG00000196642,8
ENSG00000213741,8
ENSG00000163737,8
ENSG00000205592,8
ENSG00000140988,8
ENSG00000108244,1
ENSG00000261796,1
ENSG00000117226,1
ENSG00000197061,8
ENSG00000286140,8
ENSG00000270641,8
ENSG00000240864,1
ENSG00000244575,1
ENSG00000262074,8
ENSG00000211649,1
ENSG00000182866,8
ENSG00000103355,8
ENSG00000163568,1
ENSG00000133101,1
ENSG00000008517,8
ENSG00000250021,1
ENSG00000233927,8
ENSG00000203747,1
ENSG00000179044,1
ENSG00000274512,3
ENSG00000169894,8
ENSG00000138772,1
ENSG00000162722,8
ENSG00000002549,1
ENSG00000105501,1
ENSG00000101162,8
ENSG00000081059,8
ENSG00000182557,8
ENSG00000180644,8
ENSG00000244491,8
ENSG00000198851,8
ENSG00000185304,8
ENSG00000163565,1
ENSG00000143520,8
ENSG00000136238,8
ENSG00000013306,8
ENSG00000213973,8
ENSG00000173868,8
ENSG00000038427,8
ENSG00000267519,8
ENSG00000176868,8
ENSG00000115607,1
ENSG00000250687,1
ENSG00000270276,1
ENSG00000211965,1
ENSG00000118503,4
ENSG00000107742,8
ENSG00000185736,8
ENSG00000161905,8
ENSG00000179094,8
ENSG00000228198,8
ENSG00000020633,8
ENSG00000100985,4
ENSG00000204103,8
ENSG00000229140,8
ENSG00000243449,8
ENSG00000205413,1
ENSG00000138449,1
ENSG00000243264,1
ENSG00000142583,8
ENSG00000163221,4
ENSG00000100906,4
ENSG00000274576,1
ENSG00000270972,1
ENSG00000197756,8
ENSG00000197915,8
ENSG00000229644,1
ENSG00000198695,8
ENSG00000279072,8
ENSG00000288535,8
ENSG00000240382,1
ENSG00000100453,8
ENSG00000172809,8
ENSG00000161835,8
ENSG00000213145,8
ENSG00000268658,1
ENSG00000171858,8
ENSG00000178685,1
ENSG00000172116,8
ENSG00000263335,1
ENSG00000137757,1
ENSG00000105373,8
ENSG00000124256,1
ENSG00000120885,8
ENSG00000211964,1
ENSG00000132669,1
ENSG00000175820,8
ENSG00000241945,8
ENSG00000179978,1
ENSG00000081041,8
ENSG00000104964,8
ENSG00000123384,8
ENSG00000211898,8
ENSG00000132274,1
ENSG00000110777,1
ENSG00000173391,8
ENSG00000276070,8
ENSG00000185070,8
ENSG00000123838,6
ENSG00000068079,1
ENSG00000237541,8
ENSG00000220267,4
ENSG00000170160,8
ENSG00000265185,8
ENSG00000162889,8
ENSG00000265784,8
ENSG00000137441,8
ENSG00000156587,1
ENSG00000215156,8
ENSG00000188042,8
ENSG00000167106,8
ENSG00000145649,8
ENSG00000188738,8
ENSG00000224271,8
ENSG00000096060,1
ENSG00000186919,8
ENSG00000213658,8
ENSG00000214548,8
ENSG00000171049,1
ENSG00000211670,1
ENSG00000179388,8
ENSG00000177606,8
ENSG00000248769,4
ENSG00000211658,1
ENSG00000086065,1
ENSG00000171848,8
ENSG00000168028,8
ENSG00000113140,8
ENSG00000259726,8
ENSG00000155363,1
ENSG00000236138,8
ENSG00000275993,8
ENSG00000129226,8
ENSG00000223839,8
ENSG00000255328,1
ENSG00000162654,1
ENSG00000205609,8
ENSG00000166527,1
ENSG00000273079,8
ENSG00000279602,8
ENSG00000163993,4
ENSG00000273272,1
ENSG00000279249,8
ENSG00000153234,8
ENSG00000103266,8
ENSG00000101224,8
ENSG00000108691,1
ENSG00000110448,8
ENSG00000135218,8
ENSG00000102524,1
ENSG00000231412,1
ENSG00000286185,1
ENSG00000169385,8
ENSG00000090339,4
ENSG00000227036,8
ENSG00000285219,8
ENSG00000106066,8
ENSG00000287286,8
ENSG00000079308,8
ENSG00000158856,8
ENSG00000259001,8
ENSG00000169902,1
ENSG00000110651,8
ENSG00000156113,8
ENSG00000233013,1
ENSG00000254501,8
ENSG00000203814,4
ENSG00000138061,1
ENSG00000133863,8
ENSG00000116824,8
ENSG00000236333,8
ENSG00000213809,8
ENSG00000211970,1
ENSG00000277632,8
ENSG00000224078,8
ENSG00000122643,1
ENSG00000113263,8
ENSG00000135916,1
ENSG00000261200,8
ENSG00000187627,8
ENSG00000213413,8
ENSG00000161040,1
ENSG00000211652,1
ENSG00000213689,1
ENSG00000176890,8
ENSG00000173193,1
ENSG00000198938,8
ENSG00000164587,8
ENSG00000211933,1
ENSG00000048462,1
ENSG00000287916,8
ENSG00000179144,8
ENSG00000152463,1
ENSG00000122641,8
ENSG00000224650,1
ENSG00000283787,8
ENSG00000113088,8
ENSG00000113369,1
ENSG00000223350,1
ENSG00000120129,4
ENSG00000186407,8
ENSG00000152495,8
ENSG00000112306,8
ENSG00000241343,8
ENSG00000077984,1
ENSG00000185942,8
ENSG00000211935,1
ENSG00000152558,1
ENSG00000272273,4
ENSG00000091513,8
ENSG00000169442,8
ENSG00000249669,8
ENSG00000124491,8
ENSG00000231764,8
ENSG00000126353,8
ENSG00000259207,8
ENSG00000137331,4
ENSG00000140538,8
ENSG00000115085,8
ENSG00000079385,1
ENSG00000185909,1
ENSG00000287542,1
ENSG00000105372,8
ENSG00000211650,1
ENSG00000115828,1
ENSG00000196126,8
ENSG00000178951,8
ENSG00000112715,8
ENSG00000131797,8
ENSG00000172005,8
ENSG00000254789,1
ENSG00000211946,1
ENSG00000225964,1
ENSG00000148773,8
ENSG00000107317,1
ENSG00000225492,1
ENSG00000276775,1
ENSG00000171435,8
ENSG00000132256,1
ENSG00000019144,8
ENSG00000277203,4
ENSG00000287299,1
ENSG00000248477,1
ENSG00000228300,8
ENSG00000160789,8
ENSG00000129538,8
ENSG00000130748,8
ENSG00000130511,8
ENSG00000279283,8
ENSG00000136689,1
ENSG00000069667,8
ENSG00000278935,8
ENSG00000109452,8
ENSG00000198712,8
ENSG00000138162,8
ENSG00000177575,8
ENSG00000167526,8
ENSG00000139572,4
ENSG00000101057,8
ENSG00000213402,8
ENSG00000168497,8
ENSG00000280832,1
ENSG00000164713,8
ENSG00000169247,8
ENSG00000281383,8
ENSG00000160683,8
ENSG00000267601,8
ENSG00000211976,1
ENSG00000106263,8
ENSG00000215788,8
ENSG00000180596,1
ENSG00000067646,8
ENSG00000249790,8
ENSG00000153721,8
ENSG00000130202,4
ENSG00000172543,8
ENSG00000250138,1
ENSG00000169876,8
ENSG00000235370,8
ENSG00000231528,8
ENSG00000173110,1
ENSG00000138795,8
ENSG00000168071,8
ENSG00000120708,8
ENSG00000231881,8
ENSG00000236525,1
ENSG00000007264,8
ENSG00000124942,8
ENSG00000242512,8
ENSG00000198918,8
ENSG00000049247,1
ENSG00000187554,1
ENSG00000225684,8
ENSG00000036530,8
ENSG00000106714,1
ENSG00000151726,1
ENSG00000168329,1
ENSG00000010327,8
ENSG00000272325,8
ENSG00000099958,1
ENSG00000161405,8
ENSG00000135519,8
ENSG00000259295,8
ENSG00000131401,8
ENSG00000263934,8
ENSG00000181126,8
ENSG00000154358,8
ENSG00000143545,8
ENSG00000130255,8
ENSG00000233974,8
ENSG00000123689,4
ENSG00000272196,4
ENSG00000185880,1
ENSG00000130844,8
ENSG00000165272,1
ENSG00000274173,1
ENSG00000140280,1
ENSG00000205336,8
ENSG00000198821,8
ENSG00000127152,8
ENSG00000010610,8
ENSG00000059378,1
ENSG00000150337,1
ENSG00000175344,8
ENSG00000279595,8
ENSG00000242550,8
ENSG00000165029,1
ENSG00000071655,8
ENSG00000288349,8
ENSG00000204677,8
ENSG00000070404,8
ENSG00000161911,8
ENSG00000127528,8
ENSG00000153283,8
ENSG00000102760,8
ENSG00000168264,8
ENSG00000198242,8
ENSG00000069702,8
ENSG00000239855,1
ENSG00000124614,8
ENSG00000185101,8
ENSG00000227507,8
ENSG00000159958,8
ENSG00000176788,4
ENSG00000150681,1
ENSG00000117602,8
ENSG00000280064,8
ENSG00000183688,8
ENSG00000078081,1
ENSG00000105374,8
ENSG00000181215,8
ENSG00000180739,8
ENSG00000116663,1
ENSG00000230202,8
ENSG00000186487,8
ENSG00000211967,1
ENSG00000159674,8
ENSG00000182578,8
ENSG00000233750,8
ENSG00000215182,8
