gene,LR_stat,pvalue,padj
ENSG00000146859,361.7691750475016,1.1597216632549616e-80,3.7716467932377856e-76
ENSG00000133574,329.6500021277663,1.1455590535773611e-73,1.8627935770221467e-69
ENSG00000163565,327.07528252379615,4.166805250015555e-73,4.5170946780335295e-69
ENSG00000177409,309.3880524269293,2.968477553216373e-69,2.0062138678925406e-65
ENSG00000107201,308.94821030509723,3.701273970652249e-69,2.0062138678925406e-65
ENSG00000136514,308.98044145080144,3.6419151239946714e-69,2.0062138678925406e-65
ENSG00000185880,303.56629587865814,5.505675912481582e-68,2.47256305635982e-64
ENSG00000205413,303.36777462532217,6.08219188576304e-68,2.47256305635982e-64
ENSG00000164054,301.3143110550126,1.7038419658330506e-67,6.156927601424719e-64
ENSG00000183486,300.22691208130783,2.9399160682265597e-67,9.561195037086417e-64
ENSG00000135114,299.9852844760271,3.3187717725756565e-67,9.812099598882319e-64
ENSG00000121858,295.91323376024224,2.559529571083195e-66,6.936751725897306e-63
ENSG00000132109,292.66732047390553,1.3043085368131084e-65,3.2629786334027623e-62
ENSG00000185745,290.21961342847953,4.453532218340927e-65,1.0345555343205975e-61
ENSG00000163154,289.535396572845,6.277539747000583e-65,1.3610543176796863e-61
ENSG00000067066,288.9543632393088,8.402189946861977e-65,1.7078501340740325e-61
ENSG00000089127,286.30646058409275,3.1722151930219355e-64,6.06863426514467e-61
ENSG00000124256,285.4982877698217,4.7584415274477774e-64,8.597446408647589e-61
ENSG00000135899,283.805500761959,1.1125798675789577e-63,1.9043853922843612e-60
ENSG00000163840,283.3750592637183,1.38079017658106e-63,2.2453029061384614e-60
ENSG00000086065,281.2058186322141,4.1004294972713533e-63,6.350198481440902e-60
ENSG00000132256,279.4793940106882,9.750919539447838e-63,1.4031013877734694e-59
ENSG00000132530,279.44454583778116,9.922923534465837e-63,1.4031013877734694e-59
ENSG00000129465,277.350831672035,2.83730128557865e-62,3.844779683732869e-59
ENSG00000155252,276.29698137851426,4.814674561783462e-62,6.26331384393287e-59
ENSG00000026950,274.74550825179637,1.0487672001161038e-61,1.311846418545228e-58
ENSG00000073737,273.83678596426324,1.6547023650010706e-61,1.9931196412801787e-58
ENSG00000126860,273.5939802400487,1.869113713595329e-61,2.1709755783409746e-58
ENSG00000135828,272.13910549529913,3.878887806634859e-61,4.349972043013065e-58
ENSG00000173198,268.6306186072883,2.256122717671074e-60,2.4161444712551216e-57
ENSG00000149798,268.5895787387505,2.303071109061828e-60,2.4161444712551216e-57
ENSG00000183688,267.2737465547035,4.457540400525647e-60,4.530254028309221e-57
ENSG00000119922,266.95816153723047,5.222499022230864e-60,5.14685191518158e-57
ENSG00000152102,265.4103828666085,1.1356057132035154e-59,1.086240264847198e-56
ENSG00000137628,264.5426696460318,1.7553144183894555e-59,1.6002158259904321e-56
ENSG00000180871,264.5245522860921,1.7713476949651179e-59,1.6002158259904321e-56
ENSG00000179833,263.99611174208667,2.3093205783367465e-59,2.0298303742883156e-56
ENSG00000213928,263.79437157068213,2.555384845877354e-59,2.187005946253245e-56
ENSG00000236345,263.05193332456275,3.7092165115665856e-59,3.0931061381838075e-56
ENSG00000123609,261.25460815941346,9.142058730725565e-59,7.43295085101642e-56
ENSG00000235750,259.6444251078035,2.0512716424103125e-58,1.5883680084397186e-55
ENSG00000167851,259.6634720085272,2.031755227580545e-58,1.5883680084397186e-55
ENSG00000281100,258.75484808246983,3.2057672187659884e-58,2.4246037555513365e-55
ENSG00000111335,257.1445539343793,7.193631467139842e-58,5.317074603961863e-55
ENSG00000135148,256.6435642752883,9.250324095621769e-58,6.685312005284693e-55
ENSG00000119917,254.32694475747823,2.959091311923624e-57,2.0920775575300022e-54
ENSG00000168310,254.25573334896896,3.066776087250302e-57,2.122078551267113e-54
ENSG00000196684,252.00125680294593,9.509429569698617e-57,6.311544254402825e-54
ENSG00000152213,252.03637398612966,9.343268817868739e-57,6.311544254402825e-54
ENSG00000138496,251.89685203337564,1.0021089863796464e-56,6.518117691007772e-54
ENSG00000184979,250.7716565822491,1.7628388118571695e-56,1.1241381144944877e-53
ENSG00000121486,249.38068950283264,3.5436890693441347e-56,2.216304921407884e-53
ENSG00000115145,249.31492534540757,3.662629047111075e-56,2.2474721107574786e-53
ENSG00000172086,248.41456012881537,5.755514908605986e-56,3.4663121455126643e-53
ENSG00000157601,247.7852466796376,7.893767132054572e-56,4.667656266703251e-53
ENSG00000070190,247.73918312726795,8.078429437915048e-56,4.691547896069164e-53
ENSG00000122643,247.6664445405862,8.378864754940225e-56,4.780656834388877e-53
ENSG00000152778,247.29941555406276,1.0074047645269992e-55,5.6487616813701845e-53
ENSG00000196116,246.57892504864466,1.4463888424069803e-55,7.9727894801287815e-53
ENSG00000134321,245.33498793227943,2.7007976982442897e-55,1.4639223790383465e-52
ENSG00000168394,244.50959252937562,4.087429973407241e-55,2.1792032392647587e-52
ENSG00000196954,244.4142176372841,4.2879010911699196e-55,2.2492116014036794e-52
ENSG00000111801,244.34414028190548,4.4414382891883926e-55,2.292769143507697e-52
ENSG00000174007,242.729502342941,9.990009467107438e-55,5.076485748269814e-52
ENSG00000137752,242.5558673305619,1.0899947319270349e-54,5.453662872574004e-52
ENSG00000108424,242.24441153644335,1.2744796876297732e-54,6.280095212287194e-52
ENSG00000121067,241.16434915191942,2.1919363907393293e-54,1.0639724671585743e-51
ENSG00000123610,240.21523877135218,3.529993875979253e-54,1.6882714828617247e-51
ENSG00000228830,239.85128975295495,4.2377080902739936e-54,1.9973730798824757e-51
ENSG00000101782,239.50228584804196,5.049285006729938e-54,2.345897814126729e-51
ENSG00000132274,239.31968401836824,5.534082562966853e-54,2.5349215931381408e-51
ENSG00000151702,237.993537875803,1.0769891586558779e-53,4.864700196917564e-51
ENSG00000198818,237.7418861385924,1.2220378300207783e-53,5.444262233963801e-51
ENSG00000120280,237.63410295292823,1.289992332017298e-53,5.669341975927915e-51
